history_date,group_id,group_name,group_value
2021-06-01,280,General,-1043929138
2021-06-01,281,Frozen,4268063723
2021-06-01,283,Livestock,325552
2021-06-01,284,Biohazard,110010371
2021-06-01,313,Drugs,176276593
2021-06-01,314,Miscellaneous,6060394409
2021-06-01,409,Empire Insignia Drops,10659790358
2021-06-01,493,Overseer Personal Effects,201523943378
2021-06-01,880,Sleeper Components,722465099998
2021-06-01,1206,Security Tags,230500000
2021-06-01,1248,Bounty Encrypted Bonds,16723750000
2021-06-01,1995,Triglavian Data,179166900000
2021-06-01,4087,Triglavian Space Filaments,-20670000
2021-06-02,280,General,437391655
2021-06-02,281,Frozen,8005474986
2021-06-02,283,Livestock,15343876
2021-06-02,284,Biohazard,317988402
2021-06-02,313,Drugs,146362289
2021-06-02,314,Miscellaneous,1872265120
2021-06-02,409,Empire Insignia Drops,7365849476
2021-06-02,493,Overseer Personal Effects,159386399562
2021-06-02,880,Sleeper Components,524487800000
2021-06-02,1206,Security Tags,87000000
2021-06-02,1248,Bounty Encrypted Bonds,9853120000
2021-06-02,1995,Triglavian Data,150748900000
2021-06-02,4087,Triglavian Space Filaments,-5660000
2021-06-03,280,General,2145069479
2021-06-03,281,Frozen,-1901228593
2021-06-03,283,Livestock,45178028
2021-06-03,284,Biohazard,-184595445
2021-06-03,313,Drugs,180891699
2021-06-03,314,Miscellaneous,63519075647
2021-06-03,409,Empire Insignia Drops,36289411680
2021-06-03,493,Overseer Personal Effects,264757339271
2021-06-03,526,Commodities,165000
2021-06-03,880,Sleeper Components,828582427969
2021-06-03,1206,Security Tags,182000000
2021-06-03,1248,Bounty Encrypted Bonds,11734550000
2021-06-03,1995,Triglavian Data,152439300000
2021-06-03,4087,Triglavian Space Filaments,-11120000
2021-06-04,280,General,230698571
2021-06-04,281,Frozen,-335372497
2021-06-04,283,Livestock,77891264
2021-06-04,284,Biohazard,195793830
2021-06-04,313,Drugs,558269227
2021-06-04,314,Miscellaneous,4888923099
2021-06-04,409,Empire Insignia Drops,3088062257
2021-06-04,493,Overseer Personal Effects,157090781411
2021-06-04,880,Sleeper Components,746366900000
2021-06-04,1206,Security Tags,272500000
2021-06-04,1248,Bounty Encrypted Bonds,8963240000
2021-06-04,1995,Triglavian Data,172448821300
2021-06-04,4087,Triglavian Space Filaments,-7410000
2021-06-05,280,General,-149104809
2021-06-05,281,Frozen,-678488938
2021-06-05,283,Livestock,-1070053
2021-06-05,284,Biohazard,31224235
2021-06-05,313,Drugs,170779850
2021-06-05,314,Miscellaneous,937183818
2021-06-05,409,Empire Insignia Drops,10558936874
2021-06-05,493,Overseer Personal Effects,185664683713
2021-06-05,880,Sleeper Components,653149899988
2021-06-05,1206,Security Tags,75000000
2021-06-05,1248,Bounty Encrypted Bonds,12025450000
2021-06-05,1995,Triglavian Data,157112100000
2021-06-05,4087,Triglavian Space Filaments,-680000
2021-06-06,280,General,2456021391
2021-06-06,281,Frozen,3977546435
2021-06-06,283,Livestock,-4565937
2021-06-06,284,Biohazard,52017012
2021-06-06,313,Drugs,170620887
2021-06-06,314,Miscellaneous,4445000476
2021-06-06,409,Empire Insignia Drops,14945279118
2021-06-06,493,Overseer Personal Effects,232221224346
2021-06-06,880,Sleeper Components,530928800000
2021-06-06,1206,Security Tags,149500000
2021-06-06,1248,Bounty Encrypted Bonds,7382550000
