history_date,region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
2022-04-01,10000054,Aridia,31238941631314.367,18043205285.9947,43884539712454.54,18396077442.6557,69074449432.0,155790801956.93,129342621619.3742,1141132079475.13,,,
2022-04-01,10000062,Omist,5437935630097.412,6533977219.5512,4486513303336.999,6710544198.7957,347748869909.0,292911144962.71,19534872146.7866,12862424932.2,,,
2022-04-01,10000021,Outer Passage,30450654826723.32,18192100801.0778,9519704268223.145,7856607356.689401,465831704075.0,251519652358.89,622137807445.5417,568576246868.55,,,
2022-04-01,10000057,Outer Ring,6319217971087.092,5715782802.3335,7043861364693.965,6394405052.548,43746080720.0,63797107390.94,48947189564.0022,508787144522.49005,,,
2022-04-01,10000059,Paragon Soul,8188567404963.134,16491807902.665,13050032542976.09,25677695496.105,275275255143.0,127996005563.06,340681516469.0129,59003984448.799995,,,
2022-04-01,10000063,Period Basis,13384412418615.355,28034761253.798,13552115140572.217,27375653053.798,457111133967.0,147186690584.95,72699079518.4664,9173808555.5,,,
2022-04-01,10000066,Perrigen Falls,77917051970910.33,101193559780.6878,229670738430515.53,138424790822.384,1608611900214.0,791280642325.95,1412222343376.3086,7221448415970.911,,,
2022-04-01,10000048,Placid,52136509642044.48,46069851807.364,56097374645043.14,48526960877.2815,54061369021.0,422486779315.16,1962533803967.4463,865781740683.5599,,,
2022-04-01,10000070,Pochven,19930238128542.375,4388731903.7563,23526749752817.516,6430565092.7877,502008378.0,1482708244785.5,12161020544.1016,64813089006.43001,,,
2022-04-01,10000047,Providence,14381391808445.916,19174894035.851,12340131376731.996,15989954750.2905,461535718319.0,260314817497.31,1169339344846.022,110347261754.18,,,
2022-04-01,10000023,Pure Blind,22859993111184.45,16394095779.1677,27135309331485.6,18705279347.2844,854058219329.0,1206894664699.31,1145378040653.9175,930468272308.8198,,,
2022-04-01,10000050,Querious,64083230532382.58,77503592403.5005,58173653031915.445,63365917841.7825,985492421392.0,387357914938.1,916920579460.5604,34552421950.229996,,,
2022-04-01,10000008,Scalding Pass,11846744417970.586,10816642023.485,13284512248181.725,11383371824.3275,197592829418.0,157701301242.01,615476525449.828,51509105933.34,,,
2022-04-01,10000032,Sinq Laison,197295069702783.47,252061572433.5446,184049831152770.97,252515187028.1073,229180858071.0,1273641457674.12,2838085454523.2993,14463928380231.32,,,
