MonthYear,wormhole_class,item_category,import_or_export,total
2022-11-01,Class 3,Materials,Exports,3645676892358.298
2022-11-01,Class 6,Gas,Exports,165336093720.663
2022-11-01,Class 6,Blue loot,Imports,2537606418070.466
2022-11-01,Class 6,Blue loot,Exports,7146023164645.742
2022-11-01,Class 5,Materials,Imports,1815206970578.309
2022-11-01,Class 5,Materials,Exports,2364420951855.4614
2022-11-01,Class 5,Gas,Imports,280799130581.6831
2022-11-01,Class 5,Gas,Exports,853655450097.577
2022-11-01,Class 5,Blue loot,Imports,4035109973218.853
2022-11-01,Class 5,Blue loot,Exports,16963454192205.145
2022-11-01,Class 4,Materials,Imports,2062366421737.0989
2022-11-01,Class 4,Materials,Exports,2149426477180.8943
2022-11-01,Class 4,Gas,Imports,786989944502.7374
2022-11-01,Class 4,Gas,Exports,708462305881.5052
2022-11-01,Class 4,Blue loot,Imports,8431217040582.319
2022-11-01,Class 4,Blue loot,Exports,9262171591457.37
2022-11-01,Class 3,Materials,Imports,3291692407351.8936
2022-11-01,Class 3,Gas,Imports,553304658821.5627
2022-11-01,Class 1,Blue loot,Imports,2586551306042.7017
2022-11-01,Class 1,Gas,Exports,332575598283.2121
2022-11-01,Class 1,Gas,Imports,175815026599.0135
2022-11-01,Class 1,Materials,Exports,1522396337755.8972
2022-11-01,Class 1,Materials,Imports,1324610436359.0508
2022-11-01,Class 2,Blue loot,Exports,7483038862561.057
2022-11-01,Class 6,Gas,Imports,51531745199.080795
2022-11-01,Class 2,Blue loot,Imports,7300615861518.137
2022-11-01,Class 2,Gas,Imports,910470739267.2056
2022-11-01,Class 2,Materials,Exports,4070595643426.1855
2022-11-01,Class 2,Materials,Imports,3939662033317.9272
2022-11-01,Class 3,Blue loot,Exports,9837538265937.04
2022-11-01,Class 3,Blue loot,Imports,8167853071856.12
2022-11-01,Class 3,Gas,Exports,1019276423345.2924
2022-11-01,Class 2,Gas,Exports,796531322998.8302
2022-11-01,Class 1,Blue loot,Exports,2618613821825.744
2022-11-01,Class 6,Materials,Exports,850291446556.6594
2022-11-01,Class 6,Materials,Imports,605887529655.3729
2022-12-01,Class 3,Materials,Imports,3497427561304.544
2022-12-01,Class 3,Materials,Exports,3865033444076.949
2022-12-01,Class 3,Gas,Imports,555473703533.9623
2022-12-01,Class 3,Gas,Exports,1007522260888.2874
2022-12-01,Class 3,Blue loot,Imports,7799187579800.447
2022-12-01,Class 3,Blue loot,Exports,9249815552856.94
2022-12-01,Class 2,Materials,Imports,4061035917705.67
2022-12-01,Class 1,Blue loot,Exports,2444305474517.2817
2022-12-01,Class 2,Gas,Imports,871555120127.4832
2022-12-01,Class 2,Gas,Exports,803695478218.2358
2022-12-01,Class 2,Blue loot,Imports,7413885627756.395
2022-12-01,Class 2,Blue loot,Exports,7539966546469.796
2022-12-01,Class 1,Materials,Imports,1360790644527.777
2022-12-01,Class 1,Materials,Exports,1580910250352.9172
2022-12-01,Class 1,Gas,Imports,149086185528.267
2022-12-01,Class 1,Gas,Exports,312197918727.174
2022-12-01,Class 2,Materials,Exports,4417665211263.633
2022-12-01,Class 4,Blue loot,Exports,9084798171872.094
2022-12-01,Class 4,Gas,Exports,633726312532.314
2022-12-01,Class 6,Materials,Exports,784067604436.037
2022-12-01,Class 6,Gas,Imports,70507820621.071
2022-12-01,Class 6,Gas,Exports,232244403439.6818
2022-12-01,Class 6,Blue loot,Imports,2178691697490.6433
2022-12-01,Class 6,Blue loot,Exports,6601294539359.21
2022-12-01,Class 5,Materials,Imports,1876204073565.8345
2022-12-01,Class 4,Blue loot,Imports,7860725261088.229
2022-12-01,Class 5,Materials,Exports,2458836160827.9224
2022-12-01,Class 5,Gas,Exports,893360525649.1583
2022-12-01,Class 5,Blue loot,Imports,4303535686604.032
2022-12-01,Class 5,Blue loot,Exports,17094361236523.889
2022-12-01,Class 4,Materials,Imports,2176341654393.078
2022-12-01,Class 4,Materials,Exports,2150351137072.5833
2022-12-01,Class 4,Gas,Imports,739220605105.4438
2022-12-01,Class 5,Gas,Imports,323434997165.0884
2022-12-01,Class 6,Materials,Imports,524702568050.5312
2022-12-01,Class 1,Blue loot,Imports,2409876647515.7227
2023-01-01,Class 6,Materials,Exports,998567118546.318
2023-01-01,Class 4,Blue loot,Exports,9809814162415.086
2023-01-01,Class 4,Blue loot,Imports,8748770839241.463
2023-01-01,Class 4,Gas,Exports,653617866074.5681
2023-01-01,Class 4,Gas,Imports,885919308717.3522
2023-01-01,Class 4,Materials,Exports,2595413421556.665
2023-01-01,Class 4,Materials,Imports,2494508048124.7534
2023-01-01,Class 3,Materials,Imports,4472144380184.942
2023-01-01,Class 5,Blue loot,Exports,20690771991235.85
2023-01-01,Class 5,Gas,Exports,1092771612145.0848
2023-01-01,Class 5,Gas,Imports,348391602169.834
2023-01-01,Class 5,Materials,Exports,3117807151950.221
2023-01-01,Class 5,Materials,Imports,2447928847162.1987
2023-01-01,Class 6,Blue loot,Exports,8578160191426.943
2023-01-01,Class 6,Blue loot,Imports,3275371726001.5547
2023-01-01,Class 5,Blue loot,Imports,5293631137771.118
2023-01-01,Class 6,Gas,Exports,229050596466.5613
2023-01-01,Class 3,Materials,Exports,4959666485934.026
2023-01-01,Class 3,Gas,Exports,1000543234866.0977
2023-01-01,Class 1,Blue loot,Exports,2680699966059.9136
2023-01-01,Class 1,Blue loot,Imports,2641784203155.626
2023-01-01,Class 1,Gas,Exports,344364235647.12683
2023-01-01,Class 1,Gas,Imports,184656690522.3712
2023-01-01,Class 1,Materials,Exports,1995816301707.5735
2023-01-01,Class 1,Materials,Imports,1789917538078.3335
2023-01-01,Class 3,Gas,Imports,550461323581.394
2023-01-01,Class 2,Blue loot,Exports,8630699885491.168
2023-01-01,Class 2,Gas,Exports,849731088849.9656
