history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
2003-11-01,Consumer Price Index,Ammo,0.99793,11242791847.9638,-4.8e-05
2003-11-01,Consumer Price Index,Commodity,0.967794,2419523859.033,-0.000163
2003-11-01,Consumer Price Index,Drones,1.026328,2783383734.9878,0.000153
2003-11-01,Consumer Price Index,Implants,0.641805,49628450439.9638,-0.037262
2003-11-01,Consumer Price Index,Skills,1.002347,81473574791.878,0.0004
2003-11-01,Consumer Price Index,Starbase structures,1.016469,71905929193.2584,0.002482
2003-11-01,Consumer Price Index,Tech I modules,0.994753,34486870682.3166,-0.000379
2003-11-01,Consumer Price Index,Tech I ships,1.009651,213864758101.892,0.004326
2003-11-01,Consumer Price Index,Tech II modules,0.130387,9256302323.6424,-0.016872
2003-11-01,Mineral Price Index,High-End Minerals,1.054418,79317234300.7585,0.017336
2003-11-01,Mineral Price Index,Low-End Minerals,0.997431,169647251950.1539,-0.00175
2003-11-01,Primary Producer Price Index,Ore,0.994527,24670427964.2593,-0.003873
2003-11-01,Primary Producer Price Index,Planetary Processed Materials,0.982903,2766366472.86,-0.001356
2003-11-01,Primary Producer Price Index,Planetary Refined Commodities,0.990954,4998295223.452,-0.001297
2003-11-01,Primary Producer Price Index,Planetary Specialized Commodities,1.002829,2424353653.2608,0.000196
2003-11-01,Secondary Producer Price Index,Blueprints,1.00788,40691228848.4107,0.000777
2003-11-01,Secondary Producer Price Index,Commodity,0.993285,114310236945.9581,-0.001861
2003-11-01,Secondary Producer Price Index,Planetary Commodities,0.956725,342931274.6033,-3.5e-05
2003-11-01,Secondary Producer Price Index,Planetary Refined Commodities,0.923383,13295629158.5229,-0.00247
2003-11-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.007038,243774267383.6109,0.00416
2003-12-01,Consumer Price Index,Ammo,1.092578,14849654762.1172,0.001951
2003-12-01,Consumer Price Index,Commodity,1.037368,15403370661.4206,0.000816
2003-12-01,Consumer Price Index,Drones,1.242502,3365284840.8192,0.001158
2003-12-01,Consumer Price Index,Implants,1.108134,89191429291.2448,0.013687
2003-12-01,Consumer Price Index,Skills,1.007268,77989810480.6862,0.000804
2003-12-01,Consumer Price Index,Starbase structures,2.175668,182295141842.0704,0.304166
2003-12-01,Consumer Price Index,Tech I modules,1.047325,38596509714.589,0.002592
2003-12-01,Consumer Price Index,Tech I ships,1.192526,273407730478.1356,0.074705
2003-12-01,Consumer Price Index,Tech II modules,0.609995,9510496574.9248,-0.005264
2003-12-01,Mineral Price Index,High-End Minerals,1.368097,121452834298.5415,0.160635
2003-12-01,Mineral Price Index,Low-End Minerals,1.000136,156856662568.2291,7.6e-05
2003-12-01,Primary Producer Price Index,Ore,1.019023,17179154233.5501,0.005368
2003-12-01,Primary Producer Price Index,Planetary Processed Materials,1.015225,7861485012.4708,0.001966
2003-12-01,Primary Producer Price Index,Planetary Refined Commodities,1.006332,19143786665.3647,0.001991
2003-12-01,Primary Producer Price Index,Planetary Specialized Commodities,0.993321,16688931282.0516,-0.001831
2003-12-01,Secondary Producer Price Index,Blueprints,1.035037,43739158371.6196,0.002223
2003-12-01,Secondary Producer Price Index,Commodity,1.004282,354007836498.2347,0.002199
2003-12-01,Secondary Producer Price Index,Planetary Commodities,0.991342,1231097400.9675,-1.5e-05
2003-12-01,Secondary Producer Price Index,Planetary Refined Commodities,1.007714,28571432253.6401,0.000319
2003-12-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.01496,261709139445.0426,0.00568
2004-01-01,Consumer Price Index,Ammo,1.109937,28661794191.6126,0.005337
2004-01-01,Consumer Price Index,Commodity,0.743262,16209888252.5352,-0.007048
2004-01-01,Consumer Price Index,Drones,1.108313,4078510385.9892,0.000748
2004-01-01,Consumer Price Index,Implants,1.81376,123376926976.0618,0.170052
2004-01-01,Consumer Price Index,Skills,0.835622,88429344169.128,-0.02462
2004-01-01,Consumer Price Index,Starbase structures,1.027618,14595583732.187,0.000682
2004-01-01,Consumer Price Index,Tech I modules,0.873363,57729378573.9254,-0.012382
2004-01-01,Consumer Price Index,Tech I ships,1.042469,251174268319.569,0.018067
2004-01-01,Consumer Price Index,Tech II modules,1.019813,6145255549.3062,0.000206
2004-01-01,Mineral Price Index,High-End Minerals,1.04137,103372030775.4013,0.017893
2004-01-01,Mineral Price Index,Low-End Minerals,1.007054,135627169980.3543,0.004003
2004-01-01,Primary Producer Price Index,Commodity,0.264282,197509702.5236,-0.005293
2004-01-01,Primary Producer Price Index,Ore,0.989298,15804430851.5187,-0.006162
2004-01-01,Primary Producer Price Index,Planetary Processed Materials,0.961434,4005098053.1876,-0.005627
2004-01-01,Primary Producer Price Index,Planetary Refined Commodities,1.093642,6920982049.9682,0.023611
2004-01-01,Primary Producer Price Index,Planetary Specialized Commodities,0.888691,520630334.942,-0.002111
2004-01-01,Secondary Producer Price Index,Blueprints,1.139909,55879722601.6839,0.022208
2004-01-01,Secondary Producer Price Index,Commodity,1.002175,162211072894.5089,0.001002
2004-01-01,Secondary Producer Price Index,Planetary Commodities,0.949772,668814580.581,-9.5e-05
