history_date,production_isk,destruction_isk,mining_isk
2019-01-01,5087851128150.877,1286211647406.05,1523212353304.4043
2019-01-02,5371249215041.8955,1193095455106.14,1477509850400.8958
2019-01-03,5016884059282.34,1138683309504.35,1668781114222.7615
2019-01-04,5262121000210.39,1326690437943.73,1534036906635.4326
2019-01-05,6386980122151.332,1880315842897.24,1482699455656.9058
2019-01-06,4935689492256.198,1485338460810.96,1513561038678.5862
2019-01-07,5411202587621.658,1249859623236.58,1441142582659.5881
2019-01-08,5014444245196.521,1034727091939.02,1534714808865.4478
2019-01-09,4790403972264.122,998775923719.2,1493640387304.515
2019-01-10,5527709629172.703,1180250493055.9,1511169162899.1975
2019-01-11,5472070878088.005,1011792696747.99,1544709559393.4714
2019-01-12,5024847254253.815,1985844939572.98,1649843608128.8625
2019-01-13,5204754845920.607,1871783935528.97,1303293115467.9668
2019-01-14,5466997806158.511,1078138817300.9,1457077135031.322
2019-01-15,4963709037671.387,1000039324733.22,1362545104060.2605
2019-01-16,4994655680898.574,1772506361575.98,1439142036751.889
2019-01-17,5172670295720.951,1105042374662.93,1484858570260.8577
2019-01-18,5231751403791.611,1172108430046.72,1560103369227.1106
2019-01-19,4933973745973.292,1627619483818.12,1828269352273.815
2019-01-20,5339787256733.19,1713175335605.8,1711850986376.9888
2019-01-21,5195228062225.369,1197968806799.13,1726899749094.5771
2019-01-22,4713244198565.981,982486967543.5,1546748618861.4473
2019-01-23,4773496666110.892,1114796158888.06,1439722373003.627
2019-01-24,5531335316392.021,1096896665900.26,1565659535224.269
2019-01-25,5047932969613.1,979118698930.57,1601771473928.1487
2019-01-26,5224165152306.084,1934939165424.06,1705928450638.1511
2019-01-27,6139682569754.341,1419752305897.61,1620887774877.4126
2019-01-28,5010053164721.184,1004576133117.55,1488665589846.4666
2019-01-29,5621850766295.664,1369660226342.56,1453632253236.0818
2019-01-30,5110145750474.528,982781081256.01,1525428662784.4219
2019-01-31,5081726539503.585,1069113316763.51,1570463400995.3591
2019-02-01,5137503455321.009,995415351053.54,1544570528141.6335
2019-02-02,5701664690267.465,1891683063238.49,1613406762663.702
2019-02-03,5360559344863.528,1579143929544.61,1715576093350.1445
2019-02-04,5824666209015.927,898101375994.67,1390407188381.435
2019-02-05,4597719070999.192,1089858209459.44,1253629639148.3357
