region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,82104380362045.67,11889718706.425299,75544852735409.47,10414516277.3055,58598580604.0,350935550616.76,441477335172.1675,1596005592808.7905,468485356002.7759,58878465714.750206,65748077.0
10000002,The Forge,373871552812700.2,35600907137.0386,428609288262705.94,46124570609.4479,479006786093.0,2249930100580.45,24354427383318.445,640009512750056.5,970877363840.2515,221222599175.99002,419472021.0
10000003,Vale of the Silent,31672064990399.85,3071368405.5613,38775850361211.52,3048994454.4176,5206726748152.0,1865959289400.09,20968630075651.76,10147134814908.729,1804485064439.5671,375613138845.9443,0.0
10000005,Detorid,6909357019257.022,685676593.1863999,10110794346491.072,1464121342.7203,332436965458.0,352638699671.37,1605789811826.0862,330920411501.71,565462016267.7731,286161308472.40704,0.0
10000006,Wicked Creek,5789205922134.334,847657884.5549,6981183667595.215,1048702586.0754,216064177728.0,195066870808.06,385011359012.2696,35535994930.1,121268625610.52473,22068262879.371204,0.0
10000007,Cache,5877767864508.599,485688842.73819995,5939791594775.724,521516085.83610004,923452070337.0,370064025056.9,618867285837.6123,249947868945.99,408415851154.4821,108193552180.4805,0.0
10000008,Scalding Pass,6362624472924.138,533084399.2626,7986073949003.43,785339529.9387,327779499550.0,445057010930.41,846062221149.8967,102277167229.40001,339431547163.85114,136443794366.54182,0.0
10000009,Insmother,9708133459171.293,724889906.4625,8459964614770.933,1024448997.0248,1608362067291.0,531419345414.2,296203410985.3162,51456736075.6,1229065752427.4485,474770818063.58966,0.0
10000010,Tribute,27552382233563.918,3160010435.2513,23825372990949.176,1712668321.5613,1851148270158.0,573494549894.4,7014147252084.992,16908100256.9,575433129965.6262,163709489628.6531,0.0
10000011,Great Wildlands,21130238137142.812,3005796258.2867002,19294178684499.938,2442170780.9862,28828195996.0,367374239855.03,349337202103.9653,45763411298.44001,198655870903.9355,24702969147.275703,1288007.0
10000012,Curse,28517591602314.055,3934659875.459,24406334276275.93,3455363406.5187,108350082573.0,605374318133.14,357935713358.0463,115029544699.49998,42816942576.4461,7298884183.452,461496969.0
10000013,Malpais,24096912806524.2,1423361330.2956998,16062609197001.967,1273289128.9043,1553279713713.0,339133338097.7,6860181535661.273,253409792695.66,1442228675458.2827,258582721147.34848,0.0
10000014,Catch,23127490027312.746,2525680683.0354,22737000016400.59,3878093859.0934,1178658971137.0,1552847981608.67,870974231076.9532,219354499654.36996,522039883504.0239,153040686441.47348,0.0
