history_date,entry_id,entry_name,entry_sink_value,entry_faucet_value
2021-04-01,-66.0,Structure Module (Market),-51400000000.0,10400000000.0
2021-04-01,-41.0,Planetary Industry (Market),-394619133.9,0.0
2021-04-01,-22.0,Deployable (Market),0.0,50000000.0
2021-04-01,-17.0,Commodity (Market),-15574076348.73,985104243715.23
2021-04-01,-16.0,Skill (Market),-70832303520.0,0.0
2021-04-01,-9.0,Blueprint (Market),-92862545494.0,0.0
2021-04-01,13.0,Office Rental Fee,-13488287818.0,0.0
2021-04-01,15.0,Repair Bill,-4035131398.0,4319.0
2021-04-01,19.0,Insurance,-78283636592.0,185240176527.0
2021-04-01,26.0,LP Store,-226982660000.0,0.0
2021-04-01,27.0,Agent Location Services,-44940000.0,0.0
2021-04-01,33.0,Agent Mission Reward,-259763076.0,105412529982.0
2021-04-01,35.0,CSPA,-64176627.0,0.0
2021-04-01,39.0,Corporation Registration Fee,-849493800.0,692713400.0
2021-04-01,40.0,Corporation Logo Change Cost,-2900.0,0.0
2021-04-01,41.0,Release Of Impounded Property,-125883323.0,0.0
2021-04-01,46.0,Brokers Fee,-446104816182.0,0.0
2021-04-01,48.0,Alliance Registration Fee,-2000000000.0,1000000000.0
2021-04-01,49.0,War Fee,-5600000000.0,0.0
2021-04-01,50.0,Alliance Maintainance Fee,-394000000.0,0.0
2021-04-01,51.0,Contraband Fine,-1926000.0,0.0
2021-04-01,54.0,Transaction Tax,-610116101737.0,0.0
2021-04-01,55.0,Jump Clone Installation Fee,-1350000000.0,0.0
2021-04-01,56.0,Manufacturing,-103421045319.0,0.0
2021-04-01,57.0,Researching Technology,-1276204524.0,0.0
2021-04-01,58.0,Researching Time Productivity,-10984880518.0,0.0
2021-04-01,59.0,Researching Material Productivity,-21505234909.0,0.0
2021-04-01,60.0,Copying,-2416082617.0,0.0
2021-04-01,72.0,Contract Brokers Fee,-15209850842.0,0.0
2021-04-01,73.0,Contract Sales Tax,-6053678672.0,0.0
2021-04-01,80.0,Contract Brokers Fee (corp),-3044183536.0,0.0
2021-04-01,85.0,Bounty Prizes,0.0,726139180016.0
2021-04-01,86.0,Advertisement Listing Fee,-291000000.0,0.0
2021-04-01,87.0,Medal Creation,-110000000.0,0.0
2021-04-01,88.0,Medal Issued,-440000000.0,0.0
2021-04-01,96.0,Planetary Import Tax,-1067703976.0,0.0
2021-04-01,97.0,Planetary Export Tax,-4230016436.0,0.0
2021-04-01,98.0,Planetary Construction,-16097020000.0,0.0
2021-04-01,99.1000125,Corporate Reward Payout (Sansha Incursions),0.0,474487425286.65
2021-04-01,99.1000137,Corporate Reward Payout (Pirate FOBs),0.0,11744038971.02
2021-04-01,99.1000298,Corporate Reward Payout (Triglavian Invasions),0.0,172650877103.0
2021-04-01,101.0,Bounty Surcharge,-402617742.0,0.0
2021-04-01,117.0,Security Processing Fee,-1949000000.0,0.0
2021-04-01,120.0,Industry Job Tax,-2930552632.0,0.0
2021-04-01,122.0,Infrastructure Hub maintenance,-33474000000.0,0.0
2021-04-01,123.0,Asset Safety recovery Tax,-99294920089.0,0.0
2021-04-01,125.0,Project Discovery reward,0.0,29664779708.0
2021-04-01,127.0,Reprocessing Tax,-1429447808.0,0.0
2021-04-01,128.0,Jump Clone Activation Fee,-2617200000.0,0.0
2021-04-01,129.0,Operation Bonus,0.0,179000000.0
2021-04-01,135.0,Reactions,-25486112198.0,0.0
2021-04-01,141.0,Skill Purchase,-209048108100.0,0.0
2021-04-01,145.0,Hypernet Relay Tax,-38217230729.0,0.0
2021-04-01,147.0,Redeemed ISK token,0.0,56635000.0
2021-04-01,149.0,SCC surcharge,-90693894181.0,0.0
2021-04-01,155.0,ESS Main Bank Autopayment,0.0,314558515856.0
2021-04-02,-66.0,Structure Module (Market),-51600000000.0,11200000000.0
2021-04-02,-41.0,Planetary Industry (Market),-1716127341.77,0.0
2021-04-02,-22.0,Deployable (Market),0.0,400000000.0
2021-04-02,-17.0,Commodity (Market),-9583618285.79,1089010520091.77
2021-04-02,-16.0,Skill (Market),-77555678790.0,0.0
2021-04-02,-9.0,Blueprint (Market),-104234609397.0,0.0
2021-04-02,13.0,Office Rental Fee,-12182227550.0,0.0
2021-04-02,15.0,Repair Bill,-5066253573.0,489099.0
2021-04-02,19.0,Insurance,-85763031649.0,220651178902.0
2021-04-02,26.0,LP Store,-226329285000.0,0.0
2021-04-02,27.0,Agent Location Services,-46865000.0,0.0
2021-04-02,33.0,Agent Mission Reward,-452043494.0,98320263801.0
2021-04-02,35.0,CSPA,-53228222.0,0.0
2021-04-02,39.0,Corporation Registration Fee,-550331200.0,395150600.0
2021-04-02,40.0,Corporation Logo Change Cost,-3700.0,0.0
2021-04-02,41.0,Release Of Impounded Property,-58427303.0,0.0
2021-04-02,46.0,Brokers Fee,-449483298862.0,0.0
2021-04-02,49.0,War Fee,-6000000000.0,0.0
