wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2415848224295.962
Class 1,Blue loot,Imports,2367233646422.97
Class 1,Gas,Exports,423196002214.5281
Class 1,Gas,Imports,209914043637.5622
Class 1,Materials,Exports,2597296703833.156
Class 1,Materials,Imports,2608999759696.603
Class 2,Blue loot,Exports,7961016053879.804
Class 2,Blue loot,Imports,7744357835979.151
Class 2,Gas,Exports,971909510668.5538
Class 2,Gas,Imports,972645329859.1302
Class 2,Materials,Exports,7090067701018.454
Class 2,Materials,Imports,6263548393838.234
Class 3,Blue loot,Exports,8765712072051.901
Class 3,Blue loot,Imports,6901368339094.849
Class 3,Gas,Exports,1079943361198.5476
Class 3,Gas,Imports,526288634465.2763
Class 3,Materials,Exports,6196855146247.876
Class 3,Materials,Imports,5548648345298.213
Class 4,Blue loot,Exports,9593811033497.906
Class 4,Blue loot,Imports,8248483257687.264
Class 4,Gas,Exports,688292295423.2131
Class 4,Gas,Imports,811301811803.7651
Class 4,Materials,Exports,3659071222536.332
Class 4,Materials,Imports,3196631651388.061
Class 5,Blue loot,Exports,17094900648747.348
Class 5,Blue loot,Imports,3407521556120.845
Class 5,Gas,Exports,789007600228.1075
Class 5,Gas,Imports,332266315405.1885
Class 5,Materials,Exports,4283960485250.4927
Class 5,Materials,Imports,3003110266433.4067
Class 6,Blue loot,Exports,4827790212968.434
Class 6,Blue loot,Imports,2241671607075.717
Class 6,Gas,Exports,191838344492.2
Class 6,Gas,Imports,66967200629.052
Class 6,Materials,Exports,1608228672597.059
Class 6,Materials,Imports,890195847354.0029
